from,to
VRY,VLB
VRY,BR
VS,VSS
VH,LEDN
VEM,ZP
VD,ZP
WAD,WADN
WAD,WADT
BKL,AC
WP,DMNZ
WP,NDB
WZ,ZL
WW,WWW
WW,ATN
WD,VTN
WD,BDG
WM,ZZS
ZD,ZDK
ZVT,OVN
ZA,EST
ZTM,ZTMO
ZTM,YPB
ZP,LC
ZL,ZLSH
